Time,PID,Tickets,Pass,Stride,Runtime
28983,7,4,0,256,2456
28983,8,8,0,128,2456
28983,9,16,0,64,2456
28983,10,32,0,32,2456
28983,11,32,0,32,2456
28983,12,32,0,32,2456
28983,13,32,0,32,2456
28983,14,32,0,32,2456
28983,15,32,0,32,737
28983,16,32,0,32,737
28983,17,8,0,128,737
28983,18,2,0,512,737
28983,19,8,0,128,737
28983,20,8,0,128,737
30983,1,8,0,128,23
30983,2,8,0,128,19
30983,5,1,0,1024,2582
30983,4,8,0,128,2615
30983,6,2,0,512,2582
30983,7,4,0,256,2581
30983,8,8,0,128,2581
30983,9,16,0,64,2581
30983,10,32,0,32,2581
30983,11,32,0,32,2581
30983,12,32,0,32,2581
30983,13,32,0,32,2581
30983,14,32,0,32,2581
30983,15,32,0,32,862
30983,16,32,0,32,862
30983,17,8,0,128,862
30983,18,2,0,512,862
30983,19,8,0,128,862
30983,20,8,0,128,862
32983,1,8,0,128,23
32983,2,8,0,128,19
32983,5,1,0,1024,2707
32983,4,8,0,128,2740
32983,6,2,0,512,2707
32983,7,4,0,256,2706
32983,8,8,0,128,2706
32983,9,16,0,64,2706
32983,10,32,0,32,2706
32983,11,32,0,32,2706
32983,12,32,0,32,2706
32983,13,32,0,32,2706
32983,14,32,0,32,2706
32983,15,32,0,32,987
32983,16,32,0,32,987
32983,17,8,0,128,987
32983,18,2,0,512,987
32983,19,8,0,128,987
32983,20,8,0,128,987
34983,1,8,0,128,23
34983,2,8,0,128,19
34983,5,1,0,1024,2832
34983,4,8,0,128,2865
34983,6,2,0,512,2832
34983,7,4,0,256,2831
34983,8,8,0,128,2831
34983,9,16,0,64,2831
34983,10,32,0,32,2831
34983,11,32,0,32,2831
34983,12,32,0,32,2831
34983,13,32,0,32,2831
34983,14,32,0,32,2831
34983,15,32,0,32,1112
34983,16,32,0,32,1112
34983,17,8,0,128,1112
34983,18,2,0,512,1112
34983,19,8,0,128,1112
34983,20,8,0,128,1112
36871,1,8,0,128,23
36871,2,8,0,128,19
36871,5,1,0,1024,2950
36871,4,8,0,128,2983
36871,6,2,0,512,2950
36871,7,4,0,256,2949
36871,8,8,0,128,2949
36871,9,16,0,64,2949
36871,10,32,0,32,2949
36871,11,32,0,32,2949
36871,12,32,0,32,2949
36871,13,32,0,32,2949
36871,14,32,0,32,2949
36871,15,32,0,32,1230
36871,16,32,0,32,1230
36871,17,8,0,128,1230
36871,18,2,0,512,1230
36871,19,8,0,128,1230
36871,20,8,0,128,1230
38871,1,8,0,128,23
38871,2,8,0,128,19
38871,5,1,0,1024,3075
38871,4,8,0,128,3108
38871,6,2,0,512,3075
38871,7,4,0,256,3074
38871,8,8,0,128,3074
38871,9,16,0,64,3074
38871,10,32,0,32,3074
38871,11,32,0,32,3074
38871,12,32,0,32,3074
38871,13,32,0,32,3074
38871,14,32,0,32,3074
38871,15,32,0,32,1355
38871,16,32,0,32,1355
38871,17,8,0,128,1355
38871,18,2,0,512,1355
38871,19,8,0,128,1355
38871,20,8,0,128,1355
40871,1,8,0,128,23
40871,2,8,0,128,19
40871,5,1,0,1024,3200
40871,4,8,0,128,3233
40871,6,2,0,512,3200
40871,7,4,0,256,3199
40871,8,8,0,128,3199
40871,9,16,0,64,3199
40871,10,32,0,32,3199
40871,11,32,0,32,3199
40871,12,32,0,32,3199
40871,13,32,0,32,3199
40871,14,32,0,32,3199
40871,15,32,0,32,1480
40871,16,32,0,32,1480
40871,17,8,0,128,1480
40871,18,2,0,512,1480
40871,19,8,0,128,1480
40871,20,8,0,128,1480
42871,1,8,0,128,23
42871,2,8,0,128,19
42871,5,1,0,1024,3325
42871,4,8,0,128,3358
42871,6,2,0,512,3325
42871,7,4,0,256,3324
42871,8,8,0,128,3324
42871,9,16,0,64,3324
42871,10,32,0,32,3324
42871,11,32,0,32,3324
42871,12,32,0,32,3324
42871,13,32,0,32,3324
42871,14,32,0,32,3324
42871,15,32,0,32,1605
42871,16,32,0,32,1605
42871,17,8,0,128,1605
42871,18,2,0,512,1605
42871,19,8,0,128,1605
42871,20,8,0,128,1605
44871,1,8,0,128,23
44871,2,8,0,128,19
44871,5,1,0,1024,3450
44871,4,8,0,128,3483
44871,6,2,0,512,3450
44871,7,4,0,256,3449
44871,8,8,0,128,3449
44871,9,16,0,64,3449
44871,10,32,0,32,3449
44871,11,32,0,32,3449
44871,12,32,0,32,3449
44871,13,32,0,32,3449
44871,14,32,0,32,3449
44871,15,32,0,32,1730
44871,16,32,0,32,1730
44871,17,8,0,128,1730
44871,18,2,0,512,1730
44871,19,8,0,128,1730
44871,20,8,0,128,1730
46759,1,8,0,128,23
46759,2,8,0,128,19
46759,5,1,0,1024,3568
46759,4,8,0,128,3601
46759,6,2,0,512,3568
46759,7,4,0,256,3567
46759,8,8,0,128,3567
46759,9,16,0,64,3567
46759,10,32,0,32,3567
46759,11,32,0,32,3567
46759,12,32,0,32,3567
46759,13,32,0,32,3567
46759,14,32,0,32,3567
46759,15,32,0,32,1848
46759,16,32,0,32,1848
46759,17,8,0,128,1848
46759,18,2,0,512,1848
46759,19,8,0,128,1848
46759,20,8,0,128,1848
48759,1,8,0,128,23
48759,2,8,0,128,19
48759,5,1,0,1024,3693
48759,4,8,0,128,3726
48759,6,2,0,512,3693
48759,7,4,0,256,3692
48759,8,8,0,128,3692
48759,9,16,0,64,3692
48759,10,32,0,32,3692
48759,11,32,0,32,3692
48759,12,32,0,32,3692
48759,13,32,0,32,3692
48759,14,32,0,32,3692
48759,15,32,0,32,1973
48759,16,32,0,32,1973
48759,17,8,0,128,1973
48759,18,2,0,512,1973
48759,19,8,0,128,1973
48759,20,8,0,128,1973
50759,1,8,0,128,23
50759,2,8,0,128,19
50759,5,1,0,1024,3818
50759,4,8,0,128,3851
50759,6,2,0,512,3818
50759,7,4,0,256,3817
50759,8,8,0,128,3817
